method,metric,mean,sd,n
ca,cooc_ppmi,0.204697998822009,0.00430972070319731,3
ca,cooc_raw,0.199315993984445,0.00400182763041896,3
ca,link_auc,0.798456342,0.00149044210749561,3
ca,eunis_f1,0.332064658203315,0.00805732529911685,3
ca,eunis_acc,0.538076571967417,0.0104227454111693,3
ca,eunis_base,0.137769100357129,0.00411333864665539,3
pmi,cooc_ppmi,0.267773009595949,0.00353944068182302,3
pmi,cooc_raw,0.265316659548961,0.00341888445502969,3
pmi,link_auc,0.896332498933333,0.00149341855181522,3
pmi,eunis_f1,0.33011394468236,0.0235092280436,3
pmi,eunis_acc,0.556610138036194,0.0148044267765705,3
pmi,eunis_base,0.137769100357129,0.00411333864665539,3
abund_pmi,cooc_ppmi,0.287267606633186,0.00312015482680419,3
abund_pmi,cooc_raw,0.295145010952798,0.00355070820988597,3
abund_pmi,link_auc,0.93756639,0.00124425128103292,3
abund_pmi,eunis_f1,0.329744115544346,0.0213742717079968,3
abund_pmi,eunis_acc,0.545765870149673,0.00443433257975783,3
abund_pmi,eunis_base,0.137769100357129,0.00411333864665539,3
glove,cooc_ppmi,0.193340939447182,0.000560372565866294,3
glove,cooc_raw,0.200278924252398,0.000544041320281571,3
glove,link_auc,0.785633616666667,0.0040821556668801,3
glove,eunis_f1,0.338206735811783,0.0182657859528565,3
glove,eunis_acc,0.560745706432326,0.00888718714478764,3
glove,eunis_base,0.137769100357129,0.00411333864665539,3
clr,cooc_ppmi,0.201528199105082,0.000695634226612729,3
clr,cooc_raw,0.199666259924244,0.00112231851093195,3
clr,link_auc,0.791469336666667,0.0032969193888171,3
clr,eunis_f1,0.325196141183148,0.0158137595947554,3
clr,eunis_acc,0.538412633923197,0.00402005345188043,3
clr,eunis_base,0.137769100357129,0.00411333864665539,3
